subject_name, number_of_possible_locations, trial, SCS, SCS_location, RI, accuracy, "D:03/15/21 T:15:36:40"
null, 3, 1, "(23, 125, 185)", 4, 4000, passed, "D:03/15/21 T:15:36:54"
subject_name, number_of_possible_locations, trial, SCS, SCS_location, RI, accuracy, "D:03/15/21 T:15:56:48"
null, 3, 1, "(71, 191, 54)", 2, 1000, passed, "D:03/15/21 T:15:57:08"
subject_name, number_of_possible_locations, trial, SCS, SCS_location, RI, accuracy, "D:03/15/21 T:15:58:39"
null, 3, 1, "(246, 140, 16)", 4, 500, passed, "D:03/15/21 T:15:58:51"
subject_name, number_of_possible_locations, trial, SCS, SCS_location, RI, accuracy, "D:03/15/21 T:16:07:16"
